field,type,value,Contact:,type,value
Name,Гараас,,Person 1,гараас,
Client type,Сонголт,Хувь хүн,Position,гараас,
,,Төрийн өмчит,,,
,,ХК,,,
,,ХХК,Phone number,гараас,
,,ГХОХХК,Email,гараас,
Lead source,Сонголт,Referral,Person 2,гараас,
,,Website,Position,сонголт,
,,Cold Call,,,
,,Network,,,
,,Meeting,Phone number,гараас,
,,Tender,Email,гараас,
Registration number,Гараас,Байгууллагын регистр,Person 3,гараас,
Operational address,Гараас,Үйл ажиллагаа явуулдаг байр,Position,сонголт,
Business type,Сонголт,Business Type Categories,,,
,,Agriculture & Farming,,,
,,Mining & Natural Resources,Phone number,гараас,
,,Manufacturing (Industrial Production),Email,гараас,
,,Construction & Engineering,Note,,
,,Transportation & Logistics,,,
,,Wholesale & Distribution,,,
,,Retail & Consumer Goods,,,
,,Food & Beverage / Hospitality,,,
,,Information Technology (IT) & Software,,,
,,Telecommunications,,,
,,Financial Services & Banking,,,
,,Insurance & Risk Management,,,
,,Real Estate & Property Management,,,
,,"Professional Services (Consulting, Legal, Accounting)",,,
,,Healthcare & Medical Services,,,
,,Pharmaceuticals & Biotechnology,,,
,,Education & Training,,,
,,"Media, Advertising & Marketing",,,
,,"Energy & Utilities (Electricity, Gas, Renewable)",,,
,,Public Sector & Government Services,,,
,,Non-profit & NGOs,,,
,,Automotive Industry,,,
,,Aviation & Aerospace,,,
,,"Entertainment, Sports & Recreation",,,
,,"Textile, Apparel & Fashion",,,
,,Chemicals & Petrochemicals,,,
,,"Environmental Services (Waste, Recycling)",,,
,,Security Services,,,
,,Agriculture Technology (AgriTech),,,
,,E-commerce & Online Services,,,
Business category,Гараас,Илүү нарийн мэдээлэл,,,
Status,Сонголт,New,,,
,,Negotiation,,,
,,Won,,,
,,Lost,,,
CVH-Broker,сонголт,Enkhtaivan@coverhill.mn,,,
,,Angara@coverhill.mn,,,
,,Ariunbaatar@coverhill.mn,,,
,,Munkhchuluun@coverhill.mn,,,
,,Manlai@coverhill.mn,,,
Claim history,Файл хадгалах,risk холбох боломж?,,,
Existing Insurance Policies,Гараас,risk холбох боломж?,,,
Note,Гараас,,,,
Registered date,огноо сонгох,,,,
Status,Сонголт,active,,,
,,inactive,,,
BOR ,Файл хадгалах,,,,
Service agreement,Файл хадгалах,,,,
даатгалын төрөл олон сонгох боломж?,,,,,
